participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration
15,0.0,1.0,0.5,0,0,0.0
25,0.0,1.0,0.5,1,19,19.0
3,0.0,1.0,0.5,2,20,18.0
4,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,1,36,36.0
4,0.0,1.0,0.5,0,0,0.0
17,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,24,24.0
6,1.0,1.0,0.5,1,86,86.0
26,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,0.5,2,98,65.5
22,1.0,1.0,1.0,1,32,32.0
26,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,1,67,67.0
10,1.0,1.0,1.0,2,28,17.5
22,1.0,1.0,1.0,1,30,30.0
16,1.0,1.0,1.0,0,0,0.0
2,0.0,1.0,0.5,1,21,21.0
23,1.0,1.0,1.0,1,51,51.0
9,0.0,1.0,0.5,2,19,18.0
6,1.0,1.0,1.0,1,123,123.0
19,1.0,1.0,1.0,1,151,151.0
23,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,0.5,1,14,14.0
23,0.0,1.0,0.5,0,0,0.0
14,1.0,1.0,1.0,1,264,264.0
17,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,1.0,1,15,15.0
17,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,1,25,25.0
14,1.0,1.0,1.0,1,26,26.0
24,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,18,18.0
25,1.0,1.0,1.0,1,43,43.0
25,1.0,1.0,1.0,2,38,25.5
19,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.5,1,27,27.0
5,1.0,1.0,1.0,1,20,20.0
19,1.0,1.0,1.0,1,29,29.0
22,1.0,1.0,1.0,1,25,25.0
5,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.5,2,26,20.0
12,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,1,20,20.0
6,1.0,1.0,0.5,1,149,149.0
22,0.0,1.0,0.0,1,21,21.0
9,1.0,1.0,0.5,2,131,75.5
6,0.0,1.0,0.0,2,17,11.0
5,0.0,1.0,0.5,1,20,20.0
14,0.0,1.0,0.0,2,148,112.5
19,0.0,1.0,0.5,2,19,17.0
24,0.0,1.0,0.5,0,0,0.0
6,1.0,1.0,0.0,2,22,21.5
24,0.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
2,1.0,1.0,0.0,2,116,61.5
7,1.0,1.0,1.0,1,24,24.0
23,1.0,1.0,0.0,2,56,38.0
24,0.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
16,0.0,1.0,0.5,1,12,12.0
26,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,0.5,1,35,35.0
7,1.0,1.0,0.5,1,27,27.0
18,1.0,1.0,1.0,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,1,20,20.0
19,1.0,1.0,1.0,1,145,145.0
6,1.0,1.0,0.0,1,22,22.0
6,1.0,1.0,1.0,1,22,22.0
14,0.0,1.0,0.0,1,241,241.0
17,1.0,1.0,0.5,0,0,0.0
3,1.0,1.0,0.5,1,16,16.0
26,1.0,1.0,0.5,0,0,0.0
1,0.0,1.0,0.0,0,0,0.0
25,1.0,1.0,1.0,1,24,24.0
24,0.0,1.0,0.5,1,32,32.0
23,1.0,1.0,0.5,1,62,62.0
22,1.0,1.0,1.0,1,29,29.0
4,0.0,1.0,0.5,1,10,10.0
18,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,1,18,18.0
24,0.0,1.0,0.5,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
17,0.0,1.0,0.5,0,0,0.0
22,1.0,1.0,1.0,2,31,29.5
18,0.0,1.0,0.0,0,0,0.0
24,1.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.0,1,92,92.0
9,1.0,1.0,1.0,2,16,16.0
9,1.0,1.0,0.5,2,135,75.5
2,1.0,1.0,0.5,1,64,64.0
21,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,1,69,69.0
7,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.0,1,51,51.0
16,1.0,1.0,1.0,1,7,7.0
24,1.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,133,133.0
2,0.0,1.0,0.0,1,61,61.0
17,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,1,52,52.0
14,0.0,1.0,0.5,1,57,57.0
24,0.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,1,9,9.0
4,1.0,1.0,1.0,1,28,28.0
15,1.0,1.0,0.5,1,133,133.0
3,0.0,1.0,0.5,1,15,15.0
15,0.0,1.0,0.5,1,32,32.0
6,1.0,1.0,1.0,1,213,213.0
16,1.0,1.0,1.0,1,8,8.0
11,1.0,1.0,1.0,0,0,0.0
24,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,1,136,136.0
7,1.0,1.0,1.0,1,26,26.0
7,1.0,1.0,1.0,1,21,21.0
11,1.0,1.0,1.0,1,16,16.0
8,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.0,0,0,0.0
26,1.0,1.0,1.0,1,35,35.0
4,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,1,19,19.0
24,1.0,1.0,0.5,1,29,29.0
4,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
23,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,1,28,28.0
24,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,1.0,1,11,11.0
7,1.0,1.0,1.0,1,19,19.0
17,1.0,1.0,1.0,1,15,15.0
15,1.0,1.0,0.5,1,161,161.0
5,1.0,1.0,0.5,1,16,16.0
4,1.0,1.0,0.5,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,1,13,13.0
1,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,1,9,9.0
8,1.0,1.0,1.0,0,0,0.0
5,1.0,1.0,0.5,1,13,13.0
7,0.0,1.0,0.5,1,102,102.0
18,0.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.0,1,102,102.0
24,0.0,1.0,0.5,1,3,3.0
9,0.0,1.0,0.0,2,111,60.5
14,1.0,1.0,1.0,0,0,0.0
1,1.0,1.0,1.0,1,12,12.0
7,1.0,1.0,1.0,1,28,28.0
8,1.0,1.0,0.5,0,0,0.0
24,0.0,1.0,0.5,2,17,17.0
13,0.0,1.0,0.0,2,111,64.0
4,0.0,1.0,0.5,0,0,0.0
9,0.0,1.0,0.5,1,20,20.0
22,1.0,1.0,0.5,1,22,22.0
18,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,0.0,0,0,0.0
24,0.0,1.0,0.5,1,30,30.0
1,1.0,1.0,1.0,0,0,0.0
21,1.0,1.0,0.5,0,0,0.0
12,0.0,1.0,0.5,0,0,0.0
22,0.0,1.0,0.5,2,30,27.0
19,1.0,1.0,1.0,1,50,50.0
15,0.0,1.0,0.5,1,12,12.0
9,0.0,1.0,0.0,1,15,15.0
7,0.0,1.0,0.5,1,23,23.0
23,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,0.0,0,0,0.0
23,0.0,1.0,0.0,1,48,48.0
17,1.0,1.0,1.0,0,0,0.0
4,1.0,1.0,0.5,2,17,15.5
4,0.0,1.0,0.5,0,0,0.0
12,1.0,1.0,1.0,0,0,0.0
8,1.0,1.0,1.0,0,0,0.0
3,0.0,1.0,0.5,1,16,16.0
6,0.0,1.0,0.0,1,18,18.0
14,1.0,1.0,1.0,1,38,38.0
14,1.0,1.0,0.5,2,20,16.0
24,1.0,1.0,0.5,1,22,22.0
3,1.0,1.0,1.0,1,17,17.0
13,1.0,1.0,1.0,1,24,24.0
18,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,1.0,1,116,116.0
4,1.0,1.0,1.0,0,0,0.0
6,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,0,0,0.0
14,0.0,1.0,0.5,1,18,18.0
21,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,0.0,0,0,0.0
3,0.0,1.0,0.5,1,18,18.0
7,1.0,1.0,1.0,2,24,22.5
12,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,0.0,0,0,0.0
3,1.0,1.0,0.5,1,4,4.0
24,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,1.0,1,22,22.0
22,1.0,1.0,1.0,1,157,157.0
1,1.0,1.0,1.0,1,9,9.0
24,1.0,1.0,0.5,0,0,0.0
2,1.0,1.0,1.0,2,154,87.0
4,1.0,1.0,1.0,0,0,0.0
13,1.0,1.0,1.0,2,12,9.5
21,1.0,1.0,0.0,1,25,25.0
23,1.0,1.0,0.5,1,54,54.0
26,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
21,0.0,1.0,1.0,1,169,169.0
23,0.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.5,1,15,15.0
6,1.0,1.0,1.0,2,26,23.5
3,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.5,1,73,73.0
3,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,0.5,2,142,81.5
4,1.0,1.0,0.5,0,0,0.0
6,0.0,1.0,0.5,0,0,0.0
2,1.0,1.0,1.0,2,53,36.5
22,1.0,1.0,1.0,1,28,28.0
15,1.0,1.0,1.0,1,34,34.0
18,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
25,1.0,1.0,1.0,1,17,17.0
23,0.0,1.0,0.5,0,0,0.0
17,0.0,1.0,0.5,0,0,0.0
5,1.0,1.0,0.5,1,36,36.0
13,1.0,1.0,1.0,1,24,24.0
1,1.0,1.0,1.0,0,0,0.0
3,1.0,1.0,1.0,2,19,17.5
4,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
23,0.0,1.0,0.0,1,244,244.0
14,0.0,1.0,0.5,1,48,48.0
1,1.0,1.0,1.0,2,18,15.0
17,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,0,0,0.0
14,1.0,1.0,0.5,1,33,33.0
23,0.0,1.0,0.5,1,75,75.0
24,1.0,1.0,1.0,1,33,33.0
23,0.0,1.0,0.5,1,23,23.0
15,1.0,1.0,0.5,1,51,51.0
25,1.0,1.0,1.0,1,17,17.0
24,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,0.0,0,0,0.0
14,0.0,1.0,0.5,2,78,52.5
17,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,0.0,0,0,0.0
14,1.0,1.0,1.0,1,65,65.0
3,1.0,1.0,1.0,1,11,11.0
1,1.0,1.0,1.0,1,12,12.0
19,1.0,1.0,1.0,0,0,0.0
6,1.0,1.0,1.0,1,21,21.0
21,1.0,1.0,1.0,0,0,0.0
25,0.0,1.0,0.5,2,92,55.5
23,1.0,1.0,0.5,1,89,89.0
17,1.0,1.0,0.5,0,0,0.0
13,0.0,1.0,0.5,2,29,25.5
21,0.0,1.0,0.5,1,10,10.0
23,0.0,1.0,0.0,1,40,40.0
15,1.0,1.0,1.0,2,45,34.5
4,1.0,1.0,1.0,0,0,0.0
8,0.0,1.0,0.0,0,0,0.0
3,1.0,1.0,0.5,1,13,13.0
4,1.0,1.0,0.5,1,41,41.0
12,1.0,1.0,1.0,1,11,11.0
13,1.0,1.0,1.0,1,13,13.0
4,1.0,1.0,0.5,1,11,11.0
9,1.0,1.0,1.0,1,20,20.0
9,0.0,1.0,0.5,2,22,21.5
21,0.0,1.0,0.0,1,30,30.0
24,0.0,1.0,0.5,0,0,0.0
22,1.0,1.0,1.0,2,18,16.5
9,0.0,1.0,0.5,2,19,16.5
25,1.0,1.0,1.0,1,27,27.0
22,1.0,1.0,1.0,1,21,21.0
23,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,2,71,47.0
9,1.0,1.0,1.0,1,23,23.0
3,1.0,1.0,1.0,1,5,5.0
9,0.0,1.0,0.0,1,17,17.0
3,1.0,1.0,1.0,1,15,15.0
26,0.0,1.0,0.5,0,0,0.0
8,1.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
24,0.0,1.0,0.5,0,0,0.0
1,1.0,1.0,0.0,1,9,9.0
4,0.0,1.0,0.5,0,0,0.0
4,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,1.0,2,45,31.0
8,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,2,18,13.5
23,0.0,1.0,0.5,1,46,46.0
22,1.0,1.0,1.0,1,27,27.0
14,0.0,1.0,0.5,1,38,38.0
14,1.0,1.0,1.0,2,25,14.5
15,1.0,1.0,1.0,1,42,42.0
13,1.0,1.0,1.0,1,11,11.0
21,1.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,1,27,27.0
7,1.0,1.0,1.0,1,130,130.0
5,1.0,1.0,1.0,0,0,0.0
9,1.0,1.0,1.0,1,123,123.0
4,0.0,1.0,0.5,0,0,0.0
21,1.0,1.0,1.0,1,20,20.0
7,0.0,1.0,0.5,1,20,20.0
22,1.0,1.0,1.0,1,22,22.0
1,1.0,1.0,1.0,2,34,21.0
6,0.0,1.0,0.5,1,20,20.0
1,0.0,1.0,0.0,2,95,53.0
23,1.0,1.0,1.0,1,26,26.0
14,1.0,1.0,1.0,1,89,89.0
14,0.0,1.0,0.5,1,24,24.0
23,1.0,1.0,0.0,1,15,15.0
6,1.0,1.0,1.0,0,0,0.0
17,1.0,1.0,0.5,0,0,0.0
2,0.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
10,1.0,1.0,0.0,2,19,17.5
7,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,1,13,13.0
24,1.0,1.0,1.0,0,0,0.0
14,0.0,1.0,0.5,1,27,27.0
6,1.0,1.0,1.0,1,19,19.0
23,1.0,1.0,1.0,0,0,0.0
18,0.0,1.0,0.0,1,25,25.0
16,0.0,1.0,0.0,1,30,30.0
13,0.0,1.0,0.5,2,134,76.0
26,1.0,1.0,0.5,0,0,0.0
14,0.0,1.0,0.5,0,0,0.0
17,1.0,1.0,1.0,1,22,22.0
25,1.0,1.0,1.0,1,13,13.0
4,0.0,1.0,0.5,1,16,16.0
25,1.0,1.0,1.0,1,18,18.0
5,1.0,1.0,0.5,2,17,14.5
23,1.0,1.0,0.0,1,22,22.0
22,1.0,1.0,1.0,1,135,135.0
17,1.0,1.0,1.0,0,0,0.0
23,0.0,1.0,0.5,1,45,45.0
21,1.0,1.0,1.0,1,8,8.0
2,0.0,1.0,0.0,2,23,23.0
23,1.0,1.0,1.0,1,26,26.0
1,0.0,1.0,0.0,2,11,9.0
23,0.0,1.0,0.5,2,33,25.0
3,0.0,1.0,0.5,1,94,94.0
3,1.0,1.0,1.0,1,11,11.0
14,1.0,1.0,1.0,1,170,170.0
4,0.0,1.0,0.5,1,101,101.0
13,1.0,1.0,1.0,1,78,78.0
12,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,1.0,0,0,0.0
17,1.0,1.0,1.0,0,0,0.0
16,1.0,1.0,1.0,1,19,19.0
15,1.0,1.0,0.5,1,35,35.0
12,1.0,1.0,1.0,0,0,0.0
19,1.0,1.0,1.0,1,48,48.0
9,1.0,1.0,0.5,1,126,126.0
2,1.0,1.0,0.0,2,17,16.5
21,1.0,1.0,0.5,0,0,0.0
14,1.0,1.0,1.0,0,0,0.0
4,1.0,1.0,1.0,0,0,0.0
1,1.0,1.0,1.0,1,49,49.0
24,0.0,1.0,0.5,0,0,0.0
8,0.0,1.0,0.0,0,0,0.0
25,1.0,1.0,1.0,0,0,0.0
26,1.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,1,14,14.0
14,1.0,1.0,0.5,0,0,0.0
4,1.0,1.0,1.0,0,0,0.0
15,1.0,1.0,0.5,2,46,43.5
25,1.0,1.0,1.0,1,14,14.0
21,1.0,1.0,1.0,1,24,24.0
4,1.0,1.0,0.5,1,25,25.0
10,0.0,1.0,0.5,1,21,21.0
23,1.0,1.0,1.0,2,45,39.5
3,0.0,1.0,0.5,0,0,0.0
3,0.0,1.0,0.5,0,0,0.0
19,1.0,1.0,0.0,0,0,0.0
25,0.0,1.0,0.5,2,20,17.5
13,1.0,1.0,1.0,2,81,49.5
18,1.0,1.0,1.0,0,0,0.0
2,0.0,1.0,0.0,1,23,23.0
14,1.0,1.0,0.5,0,0,0.0
3,1.0,1.0,0.5,0,0,0.0
8,1.0,1.0,0.0,1,12,12.0
26,0.0,1.0,0.0,0,0,0.0
15,0.0,1.0,0.5,1,50,50.0
16,0.0,1.0,0.5,1,10,10.0
17,0.0,1.0,0.5,0,0,0.0
9,1.0,1.0,1.0,1,189,189.0
19,1.0,1.0,1.0,2,18,18.0
7,1.0,1.0,0.5,1,31,31.0
4,1.0,1.0,1.0,0,0,0.0
7,0.0,1.0,0.0,0,0,0.0
5,1.0,1.0,1.0,1,13,13.0
7,0.0,1.0,0.5,0,0,0.0
24,1.0,1.0,1.0,1,9,9.0
18,0.0,1.0,0.5,1,21,21.0
25,1.0,1.0,0.5,0,0,0.0
22,0.0,1.0,0.5,1,24,24.0
12,1.0,1.0,0.5,0,0,0.0
8,0.0,1.0,0.5,0,0,0.0
18,1.0,1.0,1.0,0,0,0.0
18,1.0,1.0,1.0,1,6,6.0
17,1.0,1.0,1.0,0,0,0.0
1,1.0,1.0,0.5,2,24,18.5
7,0.0,1.0,0.5,2,30,26.5
25,1.0,1.0,1.0,0,0,0.0
9,0.0,1.0,0.0,2,19,14.5
19,1.0,1.0,1.0,0,0,0.0
19,1.0,1.0,1.0,1,145,145.0
