participant,study_status,scene_familiarity,recall_status,blink_cnt,peak_blink_duration,avg_blink_duration,microsaccade_count,avg_microsaccade_duration,avg_microsaccade_vel,avg_microsaccade_amp
15,0.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0
25,0.0,1.0,0.5,1,19,19.0,0,0.0,0.0,0.0
3,0.0,1.0,0.5,2,20,18.0,0,0.0,0.0,0.0
4,1.0,1.0,1.0,0,0,0.0,0,0.0,0.0,0.0
24,1.0,1.0,1.0,1,36,36.0,0,0.0,0.0,0.0
4,0.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0
17,1.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,24,24.0,0,0.0,0.0,0.0
6,1.0,1.0,0.5,1,86,86.0,0,0.0,0.0,0.0
26,1.0,1.0,1.0,0,0,0.0,1,10.0,3.4301595774440505,21.577477384796133
18,1.0,1.0,0.5,0,0,0.0,1,8.0,3.1472864971168666,18.11620673981796
23,1.0,1.0,1.0,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,0.5,0,0,0.0,2,8.0,3.057440339811445,15.126536839400112
18,1.0,1.0,0.5,2,98,65.5,0,0.0,0.0,0.0
22,1.0,1.0,1.0,1,32,32.0,1,7.5,5.828131960499238,12.531041917748908
26,1.0,1.0,1.0,0,0,0.0,0,0.0,0.0,0.0
5,1.0,1.0,0.5,1,67,67.0,0,0.0,0.0,0.0
10,1.0,1.0,1.0,2,28,17.5,3,9.166666666666666,3.3510058581545272,15.868180772618063
22,1.0,1.0,1.0,1,30,30.0,3,8.5,2.7517270167923944,15.395643240470164
16,1.0,1.0,1.0,0,0,0.0,0,0.0,0.0,0.0
2,0.0,1.0,0.5,1,21,21.0,0,0.0,0.0,0.0
23,1.0,1.0,1.0,1,51,51.0,2,9.5,4.414586548978747,14.8594579039497
9,0.0,1.0,0.5,2,19,18.0,1,7.0,4.361183130175707,17.778558533684475
6,1.0,1.0,1.0,1,123,123.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,151,151.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0,0.0,1,9.0,11.327779860392742,34.03407264199686
1,1.0,1.0,0.5,1,14,14.0,0,0.0,0.0,0.0
23,0.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,1,264,264.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0,0.0,2,10.5,3.4088415155183225,23.148131826748138
21,1.0,1.0,1.0,1,15,15.0,0,0.0,0.0,0.0
17,1.0,1.0,1.0,0,0,0.0,0,0.0,0.0,0.0
16,1.0,1.0,1.0,1,25,25.0,0,0.0,0.0,0.0
14,1.0,1.0,1.0,1,26,26.0,0,0.0,0.0,0.0
24,0.0,1.0,0.5,0,0,0.0,0,0.0,0.0,0.0
19,1.0,1.0,1.0,1,18,18.0,1,8.5,3.393367476148435,22.554830298469966
25,1.0,1.0,1.0,1,43,43.0,0,0.0,0.0,0.0
